"","name","text"
"1","HOLT"," good evening from hofstra university in hempstead new york i m lester holt anchor of nightly news i want to welcome you to the first presidential debate "
"2","HOLT","the participants tonight are donald trump and hillary clinton this debate is sponsored by the commission on presidential debates a nonpartisan nonprofit organization the commission drafted tonight s format and the rules have been agreed to by the campaigns "
"3","HOLT","the minute debate is divided into six segments each minutes long we ll explore three topic areas tonight achieving prosperity america s direction and securing america at the start of each segment i will ask the same lead off question to both candidates and they will each have up to two minutes to respond from that point until the end of the segment we ll have an open discussion "
"4","HOLT","the questions are mine and have not been shared with the commission or the campaigns the audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying "
"5","HOLT","i will invite you to applaud however at this moment as we welcome the candidates democratic nominee for president of the united states hillary clinton and republican nominee for president of the united states donald j trump "
"6","CLINTON"," how are you donald "
"7","HOLT"," good luck to you "
"8","HOLT","well i don t expect us to cover all the issues of this campaign tonight but i remind everyone there are two more presidential debates scheduled we are going to focus on many of the issues that voters tell us are most important and we re going to press for specifics i am honored to have this role but this evening belongs to the candidates and just as important to the american people "
"9","HOLT","candidates we look forward to hearing you articulate your policies and your positions as well as your visions and your values so let s begin "
"10","HOLT","we re calling this opening segment achieving prosperity and central to that is jobs there are two economic realities in america today there s been a record six straight years of job growth and new census numbers show incomes have increased at a record rate after years of stagnation however income inequality remains significant and nearly half of americans are living paycheck to paycheck "
"11","HOLT","beginning with you secretary clinton why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of american works "
"12","CLINTON"," well thank you lester and thanks to hofstra for hosting us "
"13","CLINTON","the central question in this election is really what kind of country we want to be and what kind of future we ll build together today is my granddaughter s second birthday so i think about this a lot first we have to build an economy that works for everyone not just those at the top that means we need new jobs good jobs with rising incomes "
"14","CLINTON","i want us to invest in you i want us to invest in your future that means jobs in infrastructure in advanced manufacturing innovation and technology clean renewable energy and small business because most of the new jobs will come from small business we also have to make the economy fairer that starts with raising the national minimum wage and also guarantee finally equal pay for women s work "
"15","CLINTON","i also want to see more companies do profit sharing if you help create the profits you should be able to share in them not just the executives at the top "
"16","CLINTON","and i want us to do more to support people who are struggling to balance family and work i ve heard from so many of you about the difficult choices you face and the stresses that you re under so let s have paid family leave earned sick days let s be sure we have affordable child care and debt free college "
"17","CLINTON","how are we going to do it we re going to do it by having the wealthy pay their fair share and close the corporate loopholes "
"18","CLINTON","finally we tonight are on the stage together donald trump and i donald it s good to be with you we re going to have a debate where we are talking about the important issues facing our country you have to judge us who can shoulder the immense awesome responsibilities of the presidency who can put into action the plans that will make your life better i hope that i will be able to earn your vote on november th "
"19","HOLT"," secretary clinton thank you "
"20","HOLT","mr trump the same question to you it s about putting money more money into the pockets of american workers you have up to two minutes "
"21","TRUMP"," thank you lester our jobs are fleeing the country they re going to mexico they re going to many other countries you look at what china is doing to our country in terms of making our product they re devaluing their currency and there s nobody in our government to fight them and we have a very good fight and we have a winning fight because they re using our country as a piggy bank to rebuild china and many other countries are doing the same thing "
"22","TRUMP","so we re losing our good jobs so many of them when you look at what s happening in mexico a friend of mine who builds plants said it s the eighth wonder of the world they re building some of the biggest plants anywhere in the world some of the most sophisticated some of the best plants with the united states as he said not so much "
"23","TRUMP","so ford is leaving you see that their small car division leaving thousands of jobs leaving michigan leaving ohio they re all leaving and we can t allow it to happen anymore as far as child care is concerned and so many other things i think hillary and i agree on that we probably disagree a little bit as to numbers and amounts and what we re going to do but perhaps we ll be talking about that later "
"24","TRUMP","but we have to stop our jobs from being stolen from us we have to stop our companies from leaving the united states and with it firing all of their people all you have to do is take a look at carrier air conditioning in indianapolis they left fired people they re going to mexico so many hundreds and hundreds of companies are doing this "
"25","TRUMP","we cannot let it happen under my plan i ll be reducing taxes tremendously from percent to percent for companies small and big businesses that s going to be a job creator like we haven t seen since ronald reagan it s going to be a beautiful thing to watch "
"26","TRUMP","companies will come they will build they will expand new companies will start and i look very very much forward to doing it we have to renegotiate our trade deals and we have to stop these countries from stealing our companies and our jobs "
"27","HOLT"," secretary clinton would you like to respond "
"28","CLINTON"," well i think that trade is an important issue of course we are percent of the world s population we have to trade with the other percent and we need to have smart fair trade deals "
"29","CLINTON","we also though need to have a tax system that rewards work and not just financial transactions and the kind of plan that donald has put forth would be trickle down economics all over again in fact it would be the most extreme version the biggest tax cuts for the top percent of the people in this country than we ve ever had "
"30","CLINTON","i call it trumped up trickle down because that s exactly what it would be that is not how we grow the economy "
