"","name","text"
"1","WALLACE"," good evening from the thomas and mack center at the university of nevada las vegas i m chris wallace of fox news and i welcome you to the third and final of the presidential debates between secretary of state hillary clinton and donald j trump "
"2","WALLACE","this debate is sponsored by the commission on presidential debates the commission has designed the format six roughly minute segments with two minute answers to the first question then open discussion for the rest of each segment both campaigns have agreed to those rules "
"3","WALLACE","for the record i decided the topics and the questions in each topic none of those questions has been shared with the commission or the two candidates the audience here in the hall has promised to remain silent no cheers boos or other ions so we and you can focus on what the candidates have to say "
"4","WALLACE","no noise except right now as we welcome the democratic nominee for president secretary clinton and the republican nominee for president mr trump "
"5","WALLACE","secretary clinton mr trump welcome let s get right to it the first topic is the supreme court "
"6","WALLACE","you both talked briefly about the court in the last debate but i want to drill down on this because the next president will almost certainly have at least one appointment and likely or possibly two or three appointments "
"7","WALLACE","which means that you will in effect determine the balance of the court for what could be the next quarter century "
"8","WALLACE","first of all where do you want to see the court take the country and secondly what s your view on how the constitution should be interpreted do the founders words mean what they say or is it a living document to be applied flexibly according to changing circumstances in this segment secretary clinton you go first you have two minutes "
"9","CLINTON"," thank you very much chris and thanks to for hosting us "
"10","CLINTON","you know i think when we talk about the supreme court it really raises the central issue in this election namely what kind of country are we going to be what kind of opportunities will we provide for our citizens what kind of rights will americans have "
"11","CLINTON","and i feel strongly that the supreme court needs to stand on the side of the american people not on the side of the powerful corporations and the wealthy for me that means that we need a supreme court that will stand up on behalf of women s rights on behalf of the rights of the community that will stand up and say no to citizens united a decision that has undermined the election system in our country because of the way it permits dark unaccountable money to come into our electoral system "
"12","CLINTON","i have major disagreements with my opponent about these issues and others that will be before the supreme court but i feel that at this point in our country s history it is important that we not reverse marriage equality that we not reverse roe v wade that we stand up against citizens united we stand up for the rights of people in the workplace that we stand up and basically say the supreme court should represent all of us "
"13","CLINTON","that s how i see the court and the kind of people that i would be looking to nominate to the court would be in the great tradition of standing up to the powerful standing up on behalf of our rights as americans "
"14","CLINTON","and i look forward to having that opportunity i would hope that the senate would do its job and confirm the nominee that president obama has sent to them that s the way the constitution fundamentally should operate the president nominates and then the senate advises and consents or not but they go forward with the process "
"15","WALLACE"," secretary clinton thank you "
"16","WALLACE","mr trump same question where do you want to see the court take the country and how do you believe the constitution should be interpreted "
"17","TRUMP"," well first of all it s great to be with you and thank you everybody the supreme court it s what it s all about our country is so so it s just so imperative that we have the right justices "
"18","TRUMP","something happened recently where justice ginsburg made some very very inappropriate statements toward me and toward a tremendous number of people many many millions of people that i represent and she was forced to apologize and apologize she did but these were statements that should never ever have been made "
"19","TRUMP","we need a supreme court that in my opinion is going to uphold the second amendment and all amendments but the second amendment which is under absolute siege i believe if my opponent should win this race which i truly don t think will happen we will have a second amendment which will be a very very small replica of what it is right now but i feel that it s absolutely important that we uphold because of the fact that it is under such trauma "
"20","TRUMP","i feel that the justices that i am going to appoint and i ve named of them the justices that i m going to appoint will be pro life they will have a conservative bent they will be protecting the second amendment they are great scholars in all cases and they re people of tremendous respect they will interpret the constitution the way the founders wanted it interpreted and i believe that s very very important "
"21","TRUMP","i don t think we should have justices appointed that decide what they want to hear it s all about the constitution of of and so important the constitution the way it was meant to be and those are the people that i will appoint "
"22","WALLACE"," mr trump thank you "
"23","WALLACE","we now have about minutes for an open discussion i want to focus on two issues that in fact by the justices that you name could end up changing the existing law of the land first is one that you mentioned mr trump and that is guns "
"24","WALLACE","secretary clinton you said last year let me quote the supreme court is wrong on the second amendment and now in fact in the heller case the court ruled that there is a constitutional right to bear arms but a right that is reasonably limited those were the words of the judge antonin scalia who wrote the decision what s wrong with that "
"25","CLINTON"," well first of all i support the second amendment i lived in arkansas for wonderful years i represented upstate new york i understand and respect the tradition of gun ownership it goes back to the founding of our country "
"26","CLINTON","but i also believe that there can be and must be reasonable regulation because i support the second amendment doesn t mean that i want people who shouldn t have guns to be able to threaten you kill you or members of your family "
"27","CLINTON","and so when i think about what we need to do we have people a year who die from guns i think we need comprehensive background checks need to close the online loophole close the gun show loophole there s other matters that i think are sensible that are the kind of reforms that would make a difference that are not in any way conflicting with the second amendment "
"28","CLINTON","you mentioned the heller decision and what i was saying that you referenced chris was that i disagreed with the way the court applied the second amendment in that case because what the district of columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them and the court didn t accept that reasonable regulation but they ve accepted many others so i see no conflict between saving people s lives and defending the second amendment "
"29","WALLACE"," let me bring mr trump in here the bipartisan open debate coalition got millions of votes on questions to ask here and this was in fact one of the top questions that they got how will you ensure the second amendment is protected you just heard secretary clinton s answer does she persuade you that while you may disagree on regulation that in fact she supports a second amendment right to bear arms "
"30","TRUMP"," well the d c vs heller decision was very strongly and she was extremely angry about it i watched i mean she was very very angry when upheld and justice scalia was so involved and it was a well crafted decision but hillary was extremely upset extremely angry and people that believe in the second amendment and believe in it very strongly were very upset with what she had to say "
"31","WALLACE"," well let me bring in secretary clinton were you extremely upset "
"32","CLINTON"," well i was upset because unfortunately dozens of toddlers injure themselves even kill people with guns because unfortunately not everyone who has loaded guns in their homes takes appropriate precautions "
"33","CLINTON","but there s no doubt that i respect the second amendment that i also believe there s an individual right to bear arms that is not in conflict with sensible commonsense regulation "
"34","CLINTON","and you know look i understand that donald s been strongly supported by the the gun lobby s on his side they re running millions of dollars of ads against me and i regret that because what i would like to see is for people to come together and say of course we re going to protect and defend the second amendment but we re going to do it in a way that tries to save some of these lives that we lose every year "
"35","WALLACE"," let me bring mr trump back into this because in fact you oppose any limits on assault weapons any limits on high capacity magazines you support a national right to carry law why sir "
"36","TRUMP"," well let me just tell you before we go any further in chicago which has the toughest gun laws in the united states probably you could say by far they have more gun violence than any other city so we have the toughest laws and you have tremendous gun violence "
"37","TRUMP","i am a very strong supporter of the second amendment and i am i don t know if hillary was saying it in a sarcastic manner but i m very proud to have the endorsement of the and it s the earliest endorsement they ve ever given to anybody who ran for president so i m very honored by all of that "
"38","TRUMP","we are going to appoint justices this is the best way to help the second amendment we are going to appoint justices that will feel very strongly about the second amendment that will not do damage to the second amendment "
"39","WALLACE"," well let s pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there and that s the issue of abortion "
"40","TRUMP"," right "
"41","WALLACE"," mr trump you re pro life but i want to ask you specifically do you want the court including the justices that you will name to overturn roe v wade which includes in fact states a woman s right to abortion "
"42","TRUMP"," well if that would happen because i am pro life and i will be appointing pro life judges i would think that that will go back to the individual states "
"43","WALLACE"," but i m asking you specifically would you like to"
"44","TRUMP"," if they overturned it it will go back to the states "
"45","WALLACE"," but what i m asking you sir is do you want to see the court overturn you just said you want to see the court protect the second amendment do you want to see the court overturn roe v wade "
"46","TRUMP"," well if we put another two or perhaps three justice on that s really what s going to be that will happen and that ll happen automatically in my opinion because i am putting pro life justices on the court i will say this it will go back to the states and the states will then make a determination "
"47","WALLACE"," secretary clinton "
"48","CLINTON"," well i strongly support roe v wade which guarantees a constitutional right to a woman to make the most intimate most difficult in many cases decisions about her health care that one can imagine and in this case it s not only about roe v wade it is about what s happening right now in america "
"49","CLINTON","so many states are putting very stringent regulations on women that block them from exercising that choice to the extent that they are defunding planned parenthood which of course provides all kinds of cancer screenings and other benefits for women in our country "
"50","CLINTON","donald has said he s in favor of defunding planned parenthood he even supported shutting the government down to defund planned parenthood i will defend planned parenthood i will defend roe v wade and i will defend women s rights to make their own health care decisions "
"51","WALLACE"," secretary clinton"
"52","CLINTON"," and we have come too far to have that turned back now and indeed he said women should be punished that there should be some form of punishment for women who obtain abortions and i could just not be more opposed to that kind of thinking "
"53","WALLACE"," i m going to give you a chance to respond but i want to ask you secretary clinton i want to explore how far you believe the right to abortion goes you have been quoted as saying that the fetus has no constitutional rights you also voted against a ban on late term partial birth abortions why "
"54","CLINTON"," because roe v wade very clearly sets out that there can be regulations on abortion so long as the life and the health of the mother are taken into account and when i voted as a senator i did not think that that was the case "
"55","CLINTON","the kinds of cases that fall at the end of pregnancy are often the most heartbreaking painful decisions for families to make i have met with women who toward the end of their pregnancy get the worst news one could get that their health is in jeopardy if they continue to carry to term or that something terrible has happened or just been discovered about the pregnancy i do not think the united states government should be stepping in and making those most personal of decisions so you can regulate if you are doing so with the life and the health of the mother taken into account "
"56","WALLACE"," mr trump your reaction and particularly on this issue of late term partial birth abortions "
"57","TRUMP"," well i think it s terrible if you go with what hillary is saying in the ninth month you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby "
"58","TRUMP","now you can say that that s and hillary can say that that s but it s not with me because based on what she s saying and based on where she s going and where she s been you can take the baby and rip the baby out of the womb in the ninth month on the final day and that s not acceptable "
"59","CLINTON"," well that is not what happens in these cases and using that kind of scare rhetoric is just terribly unfortunate you should meet with some of the women that i have met with women i have known over the course of my life this is one of the worst possible choices that any woman and her family has to make and i do not believe the government should be making it "
"60","CLINTON","you know i ve had the great honor of traveling across the world on behalf of our country i ve been to countries where governments either forced women to have abortions like they used to do in china or forced women to bear children like they used to do in romania and i can tell you the government has no business in the decisions that women make with their families in accordance with their faith with medical advice and i will stand up for that right "
"61","WALLACE"," all right but just briefly i want to move on to another segment"
"62","TRUMP"," and honestly nobody has business doing what i just said doing that as late as one or two or three or four days prior to birth nobody has that "
"63","WALLACE"," all right let s move on to the subject of immigration and there is almost no issue that separates the two of you more than the issue of immigration actually there are a lot of issues that separate the two of you "
"64","WALLACE","mr trump you want to build a wall secretary clinton you have offered no specific plan for how you want to secure our southern border mr trump you are calling for major deportations secretary clinton you say that within your first days as president you re going to offer a package that includes a pathway to citizenship the question really is why are you right and your opponent wrong "
"65","WALLACE","mr trump you go first in this segment you have two minutes "
"66","TRUMP"," well first of all she wants to give amnesty which is a disaster and very unfair to all of the people that are waiting on line for many many years we need strong borders "
"67","TRUMP","in the audience tonight we have four mothers of i mean these are unbelievable people that i ve gotten to know over a period of years whose children have been killed brutally killed by people that came into the country illegally you have thousands of mothers and fathers and relatives all over the country they re coming in illegally drugs are pouring in through the border we have no country if we have no border "
"68","TRUMP","hillary wants to give amnesty she wants to have open borders the border as you know the border patrol agents plus ice last week endorsed me first time they ve ever endorsed a candidate it means their job is tougher but they know what s going on they know it better than anybody they want strong borders they feel we have to have strong borders "
"69","TRUMP","i was up in new hampshire the other day the biggest complaint they have it s with all of the problems going on in the world many of the problems caused by hillary clinton and by barack obama all of the problems the single biggest problem is heroin that pours across our southern border it s just pouring and destroying their youth it s poisoning the blood of their youth and plenty of other people we have to have strong borders we have to keep the drugs out of our country we are right now we re getting the drugs they re getting the cash we need strong borders we need absolute we cannot give amnesty "
"70","TRUMP","now i want to build the wall we need the wall and the border patrol ice they all want the wall we stop the drugs we shore up the border one of my first acts will be to get all of the drug lords all of the bad ones we have some bad bad people in this country that have to go out we re going to get them out we re going to secure the border and once the border is secured at a later date we ll make a determination as to the rest but we have some bad hombres here and we re going to get them out "
"71","WALLACE"," mr trump thank you same question to you secretary clinton basically why are you right and mr trump is wrong "
"72","CLINTON"," well as he was talking i was thinking about a young girl i met here in las vegas carla who is very worried that her parents might be deported because she was born in this country but they were not they work hard they do everything they can to give her a good life "
"73","CLINTON","and you re right i don t want to rip families apart i don t want to be sending parents away from children i don t want to see the deportation force that donald has talked about in action in our country "
"74","CLINTON","we have million undocumented people they have million american citizen children million people he said as recently as a few weeks ago in phoenix that every undocumented person would be subject to deportation now here s what that means it means you would have to have a massive law enforcement presence where law enforcement officers would be going school to school home to home business to business rounding up people who are undocumented and we would then have to put them on trains on buses to get them out of our country "
"75","CLINTON","i think that is an idea that is not in keeping with who we are as a nation i think it s an idea that would rip our country apart "
"76","CLINTON","i have been for border security for years i voted for border security in the united states senate and my comprehensive immigration reform plan of course includes border security but i want to put our resources where i think they re most needed getting rid of any violent person anybody who should be deported we should deport them "
"77","CLINTON","when it comes to the wall that donald talks about building he went to mexico he had a meeting with the mexican president didn t even raise it he choked and then got into a twitter war because the mexican president said we re not paying for that wall "
"78","CLINTON","so i think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly and that s why i m introducing comprehensive immigration reform within the first days with the path to citizenship "
"79","WALLACE"," thank you secretary clinton i want to follow up"
"80","TRUMP"," chris i think it s"
"81","WALLACE"," "
"82","TRUMP"," i think i should respond to that first of all i had a very good meeting with the president of mexico very nice man we will be doing very much better with mexico on trade deals believe me the deal signed by her husband is one of the worst deals ever made of any kind signed by anybody it s a disaster "
"83","TRUMP","hillary clinton wanted the wall hillary clinton fought for the wall in or thereabouts now she never gets anything done so naturally the wall wasn t built but hillary clinton wanted the wall "
"84","WALLACE"," well let me wait wait sir let me"
"85","TRUMP"," we are a country of laws we either have and by the way"
"86","WALLACE"," now wait i d like to hear from"
"87","TRUMP"," well well but she said one thing "
"88","WALLACE"," i d like to hear i d like to hear from secretary clinton "
"89","CLINTON"," i voted for border security and there are"
"90","TRUMP"," and the wall "
"91","CLINTON"," there are some limited places where that was appropriate there also is necessarily going to be new technology and how best to deploy that "
"92","CLINTON","but it is clear when you look at what donald has been proposing he started his campaign bashing immigrants calling mexican immigrants rapists and criminals and drug dealers that he has a very different view about what we should do to deal with immigrants "
"93","CLINTON","now what i am also arguing is that bringing undocumented immigrants out from the shadows putting them into the formal economy will be good because then employers can t exploit them and undercut americans wages "
"94","CLINTON","and donald knows a lot about this he used undocumented labor to build the trump tower he underpaid undocumented workers and when they complained he basically said what a lot of employers do you complain i ll get you deported "
"95","CLINTON","i want to get everybody out of the shadows get the economy working and not let employers like donald exploit undocumented workers which hurts them but also hurts american workers "
"96","WALLACE"," mr trump "
"97","TRUMP"," president obama has moved millions of people out nobody knows about it nobody talks about it but under obama millions of people have been moved out of this country they ve been deported she doesn t want to say that but that s what s happened and that s what happened big league "
"98","TRUMP","as far as moving these people out and moving we either have a country or we don t we re a country of laws we either have a border or we don t "
"99","TRUMP","now you can come back in and you can become a citizen but it s very unfair we have millions of people that did it the right way they re on line they re waiting we re going to speed up the process big league because it s very inefficient but they re on line and they re waiting to become citizens "
"100","TRUMP","very unfair that somebody runs across the border becomes a citizen under her plan you have open borders you would have a disaster on trade and you will have a disaster with your open borders "
"101","WALLACE"," i want to"
"102","TRUMP"," but what she doesn t say is that president obama has deported millions and millions of people just the way it is "
"103","WALLACE"," secretary clinton i want to"
"104","CLINTON"," we will not have open borders that is"
"105","WALLACE"," well let me secretary"
"106","CLINTON"," that is a rank mischaracterization "
"107","WALLACE"," secretary clinton"
"108","CLINTON"," we will have secure borders but we ll also have reform and this used to be a bipartisan issue ronald reagan was the last president"
"109","WALLACE"," secretary clinton excuse me secretary clinton "
"110","CLINTON"," to sign immigration reform and george w bush supported it as well "
"111","WALLACE"," secretary clinton i want to clear up your position on this issue because in a speech you gave to a brazilian bank for which you were paid we ve learned from the wikileaks that you said this and i want to quote my dream is a hemispheric common market with open trade and open borders so that s the question"
"112","TRUMP"," thank you "
"113","WALLACE"," that s the question please quiet everybody is that your dream open borders "
"114","CLINTON"," well if you went on to read the rest of the sentence i was talking about energy you know we trade more energy with our neighbors than we trade with the rest of the world combined and i do want us to have an electric grid an energy system that crosses borders i think that would be a great benefit to us "
"115","CLINTON","but you are very clearly quoting from wikileaks and what s really important about wikileaks is that the russian government has engaged in espionage against americans they have hacked american websites american accounts of private people of institutions then they have given that information to wikileaks for the purpose of putting it on the internet "
"116","CLINTON","this has come from the highest levels of the russian government clearly from putin himself in an effort as of our intelligence agencies have confirmed to influence our election "
"117","CLINTON","so i actually think the most important question of this evening chris is finally will donald trump admit and condemn that the russians are doing this and make it clear that he will not have the help of putin in in this election that he rejects russian espionage against americans which he actually encouraged in the past those are the questions we need answered we ve never had anything like this happen in any of our elections before "
"118","WALLACE"," well "
"119","TRUMP"," that was a great pivot off the fact that she wants open borders how did we get on to putin "
"120","WALLACE"," hold on hold on wait hold on folks because we this is going to end up getting out of control let s try to keep it quiet so for the candidates and for the american people "
"121","TRUMP"," so just to finish on the borders"
"122","WALLACE"," yes "
"123","TRUMP"," she wants open borders people are going to pour into our country people are going to come in from syria she wants percent more people than barack obama and he has thousands and thousands of people they have no idea where they come from "
"124","TRUMP","and you see we are going to stop radical islamic terrorism in this country she won t even mention the words and neither will president obama so i just want to tell you she wants open borders "
"125","TRUMP","now we can talk about putin i don t know putin he said nice things about me if we got along well that would be good if russia and the united states got along well and went after isis that would be good "
"126","TRUMP","he has no respect for her he has no respect for our president and i ll tell you what we re in very serious trouble because we have a country with tremendous numbers of nuclear warheads by the way where they expanded and we didn t nuclear warheads and she s playing chicken look putin"
"127","WALLACE"," wait but"
"128","TRUMP"," from everything i see has no respect for this person "
"129","CLINTON"," well that s because he d rather have a puppet as president of the united states "
"130","TRUMP"," no puppet no puppet "
"131","CLINTON"," and it s pretty clear"
"132","TRUMP"," you re the puppet "
"133","CLINTON"," it s pretty clear you won t admit"
"134","TRUMP"," no you re the puppet "
"135","CLINTON"," that the russians have engaged in cyberattacks against the united states of america that you encouraged espionage against our people that you are willing to spout the putin line sign up for his wish list break up do whatever he wants to do and that you continue to get help from him because he has a very clear favorite in this race "
"136","CLINTON","so i think that this is such an unprecedented situation we ve never had a foreign government trying to interfere in our election we have intelligence agencies civilian and military who have all concluded that these espionage attacks these cyberattacks come from the highest levels of the kremlin and they are designed to influence our election i find that deeply disturbing "
"137","WALLACE"," secretary clinton"
"138","CLINTON"," and i think it s time you take a stand"
"139","TRUMP"," she has no idea whether it s russia china or anybody else "
"140","CLINTON"," i am not quoting myself "
"141","TRUMP"," she has no idea "
"142","CLINTON"," i am quoting "
"143","TRUMP"," hillary you have no idea "
"144","CLINTON"," intelligence do you doubt military and civilian"
"145","TRUMP"," and our country has no idea "
"146","CLINTON"," agencies "
"147","TRUMP"," yeah i doubt it i doubt it "
"148","CLINTON"," well he d rather believe vladimir putin than the military and civilian intelligence professionals who are sworn to protect us i find that just absolutely"
"149","TRUMP"," she doesn t like putin because putin has outsmarted her at every step of the way "
"150","WALLACE"," mr trump"
"151","TRUMP"," excuse me putin has outsmarted her in syria "
"152","WALLACE"," mr trump"
"153","TRUMP"," he s outsmarted her every step of the way "
"154","WALLACE"," i do get to ask some questions "
"155","TRUMP"," yes that s fine "
"156","WALLACE"," and i would like to ask you this direct question the top national security officials of this country do believe that russia has been behind these hacks even if you don t know for sure whether they are do you condemn any interference by russia in the american election "
"157","TRUMP"," by russia or anybody else "
"158","WALLACE"," you condemn their interference "
"159","TRUMP"," of course i condemn of course i i don t know putin i have no idea "
"160","WALLACE"," i m not asking i m asking do you condemn "
"161","TRUMP"," i never met putin this is not my best friend but if the united states got along with russia wouldn t be so bad "
"162","TRUMP","let me tell you putin has outsmarted her and obama at every single step of the way whether it s syria you name it missiles take a look at the start up that they signed the russians have said according to many many reports i can t believe they allowed us to do this they create warheads and we can t the russians can t believe it she has been outsmarted by putin "
"163","TRUMP","and all you have to do is look at the middle east they ve taken over we ve spent trillion they ve taken over the middle east she has been outsmarted and outplayed worse than anybody i ve ever seen in any government whatsoever "
"164","WALLACE"," we re a long way away from immigration but i m going to let you finish this topic you got about seconds "
"165","TRUMP"," and she always will be "
"166","CLINTON"," i i find it ironic that he s raising nuclear weapons this is a person who has been very cavalier even casual about the use of nuclear weapons he s"
"167","TRUMP"," wrong "
"168","CLINTON"," advocated more countries getting them japan korea even saudi arabia he said well if we have them why don t we use them which i think is terrifying "
"169","CLINTON","but here s the deal the bottom line on nuclear weapons is that when the president gives the order it must be followed there s about four minutes between the order being given and the people responsible for launching nuclear weapons to do so and that s why people who have had that awesome responsibility have come out and in an unprecedented way said they would not trust donald trump with the nuclear codes or to have his finger on the nuclear button "
"170","TRUMP"," i have generals"
"171","WALLACE"," very quickly "
"172","TRUMP"," and admirals endorsing me congressional medal of honor recipients as far as japan and other countries we are being ripped off by everybody in the we re defending other countries we are spending a fortune doing it they have the bargain of the century "
"173","TRUMP","all i said is we have to renegotiate these agreements because our country cannot afford to defend saudi arabia japan germany south korea and many other places we cannot continue to afford she took that as saying nuclear weapons "
"174","WALLACE"," "
"175","TRUMP"," look she s been proven to be a liar on so many different ways this is just another lie "
"176","CLINTON"," well i m just quoting you when you were asked"
"177","TRUMP"," there s no quote you re not going to find a quote from me "
"178","CLINTON"," about a potential nuclear nuclear competition in asia you said you know go ahead enjoy yourselves folks that kind"
"179","TRUMP"," and defend yourselves "
"180","CLINTON"," of language well"
"181","TRUMP"," and defend yourselves i didn t say nuclear and defend yourself "
"182","CLINTON"," the united states has kept the peace the united states has kept the peace through our alliances donald wants to tear up our alliances i think it makes the world safer and frankly it makes the united states safer i would work with our allies in asia in europe in the middle east and elsewhere that s the only way we re going to be able to keep the peace "
"183","WALLACE"," we re going to no we are going to move on to the next topic which is the economy and i hope we handle that as well as we did immigration you also have very different ideas about how to get the economy growing faster secretary clinton in your plan government plays a big role you see more government spending more entitlements more tax credits more tax penalties mr trump you want to get government out with lower taxes and less regulation "
"184","TRUMP"," yes "
"185","WALLACE"," we re going to drill down into this a little bit more but in this overview please explain to me why you believe that your plan will create more jobs and growth for this country and your opponent s plan will not in this round you go first secretary clinton "
"186","CLINTON"," well i think when the middle class thrives america thrives and so my plan is based on growing the economy giving middle class families many more opportunities i want us to have the biggest jobs program since world war jobs in infrastructure and advanced manufacturing i think we can compete with high wage countries and i believe we should new jobs and clean energy not only to fight climate change which is a serious problem but to create new opportunities and new businesses "
"187","CLINTON","i want us to do more to help small business that s where two thirds of the new jobs are going to come from i want us to raise the national minimum wage because people who live in poverty should not who work full time should not still be in poverty and i sure do want to make sure women get equal pay for the work we do "
"188","CLINTON","i feel strongly that we have to have an education system that starts with preschool and goes through college that s why i want more technical education in high schools and in community colleges real apprenticeships to prepare young people for the jobs of the future i want to make college debt free and for families making less than you will not get a tuition bill from a public college or university if the plan that i worked on with bernie sanders is enacted "
"189","CLINTON","and we re going to work hard to make sure that it is because we are going to go where the money is most of the gains in the last years since the great recession have gone to the very top so we are going to have the wealthy pay their fair share we re going to have corporations make a contribution greater than they are now to our country "
"190","CLINTON","that is a plan that has been analyzed by independent experts which said that it could produce million new jobs by contrast donald s plan has been analyzed to conclude it might lose million jobs why because his whole plan is to cut taxes to give the biggest tax breaks ever to the wealthy and to corporations adding trillion to our debt and causing the kind of dislocation that we have seen before because it truly will be trickle down economics on steroids "
"191","CLINTON","so the plan i have i think will actually produce greater opportunities the plan he has will cost us jobs and possibly lead to another great recession "
"192","WALLACE"," secretary thank you mr trump why will your plan create more jobs and growth than secretary clinton s "
"193","TRUMP"," well first of all before i start on my plan her plan is going to raise taxes and even double your taxes her tax plan is a disaster and she can say all she wants about college tuition and i m a big proponent we re going to do a lot of things for college tuition but the rest of the public s going to be paying for it we will have a massive massive tax increase under hillary clinton s plan "
"194","TRUMP","but i d like to start off where we left because when i said japan and germany and i m not to single them out but south korea these are very rich powerful countries saudi arabia nothing but money we protect saudi arabia why aren t they paying "
"195","TRUMP","she immediately when she heard this i questioned it and i questioned why aren t the questioned why aren t they paying because they weren t paying "
"196","TRUMP","since i did this this was a year ago all of a sudden they re paying and i ve been given a lot a lot of credit for it all of a sudden they re starting to pay up they have to pay up we re protecting people they have to pay up and i m a big fan of but they have to pay up "
"197","TRUMP","she comes out and said we love our allies we think our allies are great well it s awfully hard to get them to pay up when you have somebody saying we think how great they are "
"198","TRUMP","we have to tell japan in a very nice way we have to tell germany all of these countries south korea we have to say you have to help us out we have during his regime during president obama s regime we ve doubled our national debt we re up to trillion "
